1 2 3 4
2 1 48 49
3 1 47 50
4 1 45 46
5 6 7 30
6 5 27 35
7 5 26 36
8 9 18 19
9 8 12 13
10 14 17 28
11 15 16 29
12 9 14 16
13 9 15 17
14 10 12 20
15 11 13 22
16 11 12 21
17 10 13 23
18 8 20 22
19 8 21 23
20 14 18 24
21 16 19 25
22 15 18 25
23 17 19 24
24 20 23 27
25 21 22 26
26 7 25 29
27 6 24 28
28 10 27 32
29 11 26 31
30 5 31 32
31 29 30 38
32 28 30 37
33 40 42 44
34 39 41 43
35 6 38 40
36 7 37 39
37 32 36 48
38 31 35 47
39 34 36 49
40 33 35 50
41 34 45 48
42 33 45 47
43 34 46 50
44 33 46 49
45 4 41 42
46 4 43 44
47 3 38 42
48 2 37 41
49 2 39 44
50 3 40 43
